case_id,expected_rule_id,expected_proof_state,expected_corrective_action,expected_human_review_flag,predicted_rule_id,predicted_proof_state,validated_proof_state,proof_state_confidence,supporting_evidence,missing_evidence,evidence_matrix_json,framework_corrective_action,framework_case_file_summary,human_review_flag,unsupported_claim_flag,legal_validation_passed,evidence_completeness_score,rule_match_flag,model_variant,output_version
CASE_1335,BAS_R03,probable_violation,Request missing support; issue provisional review notice; verify documents,no,BAS_R03,probable_violation,probable_violation,0.813,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1335: Basel-inspired case assessed as probable violation based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.968,yes,EnvLex-Lite,v1.0
CASE_1336,ROT_R04,no_violation,Close preliminary review; retain compliance record,no,ROT_R04,no_violation,no_violation,0.88,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_1336: Rotterdam-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.899,yes,EnvLex-Lite,v1.0
CASE_1337,MIN_R01,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R01,confirmed_violation,confirmed_violation,0.935,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_1337: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.966,yes,EnvLex-Lite,v1.0
CASE_1338,ROT_R04,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,ROT_R04,human_review_required,human_review_required,0.699,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_1338: Rotterdam-inspired case assessed as human review required based on regulated item and controlled action, domestic/permit mapping available.",yes,no,yes,0.794,yes,EnvLex-Lite,v1.0
CASE_1339,BAS_R03,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R03,confirmed_violation,confirmed_violation,0.835,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_1339: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.94,yes,EnvLex-Lite,v1.0
CASE_1340,MON_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,MON_R02,insufficient_evidence,insufficient_evidence,0.739,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1340: Montreal-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.774,yes,EnvLex-Lite,v1.0
CASE_1341,ROT_R05,probable_violation,Request missing support; issue provisional review notice; verify documents,no,ROT_R05,probable_violation,probable_violation,0.739,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1341: Rotterdam-inspired case assessed as probable violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.948,yes,EnvLex-Lite,v1.0
CASE_1342,MON_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R01,probable_violation,probable_violation,0.627,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1342: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.936,yes,EnvLex-Lite,v1.0
CASE_1343,MON_R01,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R01,probable_violation,probable_violation,0.659,regulated item and controlled action; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1343: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.964,yes,EnvLex-Lite,v1.0
CASE_1344,MIN_R04,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MIN_R04,probable_violation,probable_violation,0.743,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1344: Minamata-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.96,yes,EnvLex-Lite,v1.0
CASE_1345,BAS_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,BAS_R02,insufficient_evidence,insufficient_evidence,0.813,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1345: Basel-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.818,yes,EnvLex-Lite,v1.0
CASE_1346,STO_R05,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R05,confirmed_violation,confirmed_violation,0.856,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Verify exemption status; submit complete disposal/storage documentation,"CASE_1346: Stockholm-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.902,yes,EnvLex-Lite,v1.0
CASE_1347,MON_R04,insufficient_evidence,Request additional evidence before enforcement classification,no,MON_R04,insufficient_evidence,insufficient_evidence,0.754,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1347: Montreal-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.729,yes,EnvLex-Lite,v1.0
CASE_1348,ROT_R04,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R04,confirmed_violation,confirmed_violation,0.908,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_1348: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.917,yes,EnvLex-Lite,v1.0
CASE_1349,MIN_R02,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R02,confirmed_violation,confirmed_violation,0.929,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_1349: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.87,yes,EnvLex-Lite,v1.0
CASE_1350,MIN_R03,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R01,probable_violation,probable_violation,0.472,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1350: Minamata-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,yes,no,0.654,no,EnvLex-Lite,v1.0
CASE_1351,ROT_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,ROT_R02,probable_violation,probable_violation,0.79,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1351: Rotterdam-inspired case assessed as probable violation based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.875,yes,EnvLex-Lite,v1.0
CASE_1352,MON_R03,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R03,probable_violation,probable_violation,0.742,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1352: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.889,yes,EnvLex-Lite,v1.0
CASE_1353,MON_R04,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MON_R04,probable_violation,probable_violation,0.568,regulated item and controlled action; document gap; threshold exceedance; domestic/permit mapping available,verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1353: Montreal-inspired case assessed as probable violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.925,yes,EnvLex-Lite,v1.0
CASE_1354,ROT_R05,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R05,confirmed_violation,confirmed_violation,0.935,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_1354: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.972,yes,EnvLex-Lite,v1.0
CASE_1355,STO_R02,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R02,confirmed_violation,confirmed_violation,0.829,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Verify exemption status; submit complete disposal/storage documentation,"CASE_1355: Stockholm-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.94,yes,EnvLex-Lite,v1.0
CASE_1356,MON_R03,no_violation,Close preliminary review; retain compliance record,no,MON_R04,human_review_required,human_review_required,0.65,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Escalate to human reviewer for legal and factual assessment,CASE_1356: Montreal-inspired case assessed as human review required based on valid evidence quality.,yes,yes,no,0.572,no,EnvLex-Lite,v1.0
CASE_1357,MIN_R02,probable_violation,Request missing support; issue provisional review notice; verify documents,no,MIN_R02,probable_violation,probable_violation,0.641,regulated item and controlled action; threshold exceedance; valid evidence quality; domestic/permit mapping available,complete required document,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1357: Minamata-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.863,yes,EnvLex-Lite,v1.0
CASE_1358,STO_R05,probable_violation,Request missing support; issue provisional review notice; verify documents,no,STO_R03,insufficient_evidence,insufficient_evidence,0.654,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1358: Stockholm-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,yes,no,0.632,no,EnvLex-Lite,v1.0
CASE_1359,BAS_R05,no_violation,Close preliminary review; retain compliance record,no,BAS_R05,no_violation,no_violation,0.867,regulated item and controlled action; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_1359: Basel-inspired case assessed as no violation based on regulated item and controlled action, threshold exceedance, valid evidence quality.",no,no,yes,0.932,yes,EnvLex-Lite,v1.0
CASE_1360,BAS_R03,no_violation,Close preliminary review; retain compliance record,no,BAS_R03,no_violation,no_violation,0.864,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_1360: Basel-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.871,yes,EnvLex-Lite,v1.0
CASE_1361,MIN_R03,no_violation,Close preliminary review; retain compliance record,no,MIN_R03,no_violation,no_violation,0.935,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_1361: Minamata-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.88,yes,EnvLex-Lite,v1.0
CASE_1362,BAS_R03,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,BAS_R03,human_review_required,human_review_required,0.831,regulated item and controlled action,verified evidence-quality record; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,CASE_1362: Basel-inspired case assessed as human review required based on regulated item and controlled action.,yes,no,yes,0.875,yes,EnvLex-Lite,v1.0
CASE_1363,BAS_R05,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R05,confirmed_violation,confirmed_violation,0.85,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_1363: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.935,yes,EnvLex-Lite,v1.0
CASE_1364,MIN_R01,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R01,confirmed_violation,confirmed_violation,0.972,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_1364: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.898,yes,EnvLex-Lite,v1.0
CASE_1365,ROT_R04,probable_violation,Request missing support; issue provisional review notice; verify documents,no,ROT_R04,probable_violation,probable_violation,0.81,regulated item and controlled action; threshold exceedance; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request missing support; issue provisional review notice; verify documents,"CASE_1365: Rotterdam-inspired case assessed as probable violation based on regulated item and controlled action, threshold exceedance, domestic/permit mapping available.",no,no,yes,0.926,yes,EnvLex-Lite,v1.0
CASE_1366,MIN_R01,insufficient_evidence,Request additional evidence before enforcement classification,no,MIN_R01,insufficient_evidence,insufficient_evidence,0.659,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1366: Minamata-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance.",no,no,yes,0.762,yes,EnvLex-Lite,v1.0
CASE_1367,MIN_R03,confirmed_violation,Stop release; submit verified lab report; provide mercury-waste record,no,MIN_R03,confirmed_violation,confirmed_violation,0.874,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Stop release; submit verified lab report; provide mercury-waste record,"CASE_1367: Minamata-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.966,yes,EnvLex-Lite,v1.0
CASE_1368,MIN_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,MIN_R02,insufficient_evidence,insufficient_evidence,0.732,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1368: Minamata-inspired case assessed as insufficient evidence based on regulated item and controlled action, threshold exceedance.",no,no,yes,0.867,yes,EnvLex-Lite,v1.0
CASE_1369,MIN_R02,no_violation,Close preliminary review; retain compliance record,no,MIN_R02,no_violation,no_violation,0.941,valid evidence quality,none,"{""rule_applicability"":""no"",""obligation_exists"":""yes"",""factual_breach"":""no"",""evidence_quality"":""verified"",""domestic_mapping"":""not_required"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,CASE_1369: Minamata-inspired case assessed as no violation based on valid evidence quality.,no,no,yes,0.978,yes,EnvLex-Lite,v1.0
CASE_1370,BAS_R03,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,BAS_R03,human_review_required,human_review_required,0.816,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""no"",""missing_critical_field"":""no"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_1370: Basel-inspired case assessed as human review required based on regulated item and controlled action, threshold exceedance.",yes,no,yes,0.816,yes,EnvLex-Lite,v1.0
CASE_1371,MON_R01,insufficient_evidence,Request additional evidence before enforcement classification,no,MON_R01,insufficient_evidence,insufficient_evidence,0.831,regulated item and controlled action; document gap; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""unknown"",""evidence_quality"":""invalid"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1371: Montreal-inspired case assessed as insufficient evidence based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.836,yes,EnvLex-Lite,v1.0
CASE_1372,MIN_R03,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,MIN_R03,human_review_required,human_review_required,0.761,regulated item and controlled action; valid evidence quality,complete required document; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""likely"",""evidence_quality"":""valid"",""domestic_mapping"":""no"",""missing_critical_field"":""no"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_1372: Minamata-inspired case assessed as human review required based on regulated item and controlled action, valid evidence quality.",yes,no,yes,0.723,yes,EnvLex-Lite,v1.0
CASE_1373,ROT_R02,insufficient_evidence,Request additional evidence before enforcement classification,no,ROT_R02,insufficient_evidence,insufficient_evidence,0.805,regulated item and controlled action; domestic/permit mapping available,complete required document; verified evidence-quality record,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""missing"",""domestic_mapping"":""yes"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,"CASE_1373: Rotterdam-inspired case assessed as insufficient evidence based on regulated item and controlled action, domestic/permit mapping available.",no,no,yes,0.808,yes,EnvLex-Lite,v1.0
CASE_1374,STO_R05,no_violation,Close preliminary review; retain compliance record,no,STO_R05,no_violation,no_violation,0.946,valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""no"",""obligation_exists"":""no"",""factual_breach"":""no"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Close preliminary review; retain compliance record,"CASE_1374: Stockholm-inspired case assessed as no violation based on valid evidence quality, domestic/permit mapping available.",no,no,yes,0.927,yes,EnvLex-Lite,v1.0
CASE_1375,STO_R01,confirmed_violation,Verify exemption status; submit complete disposal/storage documentation,no,STO_R01,confirmed_violation,confirmed_violation,0.881,regulated item and controlled action; document gap; threshold exceedance; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""verified"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Verify exemption status; submit complete disposal/storage documentation,"CASE_1375: Stockholm-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, threshold exceedance.",no,no,yes,0.932,yes,EnvLex-Lite,v1.0
CASE_1376,MON_R01,human_review_required,Escalate to human reviewer for legal and factual assessment,yes,MON_R01,human_review_required,human_review_required,0.795,regulated item and controlled action; threshold exceedance,complete required document; verified evidence-quality record; domestic mapping confirmation; resolution of structured-text conflict,"{""rule_applicability"":""yes"",""obligation_exists"":""unclear"",""factual_breach"":""likely"",""evidence_quality"":""partial"",""domestic_mapping"":""unclear"",""missing_critical_field"":""no"",""structured_text_conflict"":""yes""}",Escalate to human reviewer for legal and factual assessment,"CASE_1376: Montreal-inspired case assessed as human review required based on regulated item and controlled action, threshold exceedance.",yes,no,yes,0.773,yes,EnvLex-Lite,v1.0
CASE_1377,BAS_R01,insufficient_evidence,Request additional evidence before enforcement classification,no,BAS_R01,insufficient_evidence,insufficient_evidence,0.705,regulated item and controlled action,complete required document; verified evidence-quality record; domestic mapping confirmation,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""unknown"",""evidence_quality"":""unverified"",""domestic_mapping"":""unclear"",""missing_critical_field"":""yes"",""structured_text_conflict"":""no""}",Request additional evidence before enforcement classification,CASE_1377: Basel-inspired case assessed as insufficient evidence based on regulated item and controlled action.,no,no,yes,0.839,yes,EnvLex-Lite,v1.0
CASE_1378,ROT_R01,confirmed_violation,Hold export; obtain prior consent; submit authorization record,no,ROT_R01,confirmed_violation,confirmed_violation,0.913,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Hold export; obtain prior consent; submit authorization record,"CASE_1378: Rotterdam-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.962,yes,EnvLex-Lite,v1.0
CASE_1379,BAS_R01,confirmed_violation,Suspend movement; obtain consent; submit movement/disposal trail,no,BAS_R01,confirmed_violation,confirmed_violation,0.962,regulated item and controlled action; document gap; valid evidence quality; domestic/permit mapping available,none,"{""rule_applicability"":""yes"",""obligation_exists"":""yes"",""factual_breach"":""yes"",""evidence_quality"":""valid"",""domestic_mapping"":""yes"",""missing_critical_field"":""no"",""structured_text_conflict"":""no""}",Suspend movement; obtain consent; submit movement/disposal trail,"CASE_1379: Basel-inspired case assessed as confirmed violation based on regulated item and controlled action, document gap, valid evidence quality.",no,no,yes,0.91,yes,EnvLex-Lite,v1.0
