case_id,rule_family,candidate_rule_id,entity_type,material_type,action_type,is_regulated_item,is_controlled_action,required_document_status,exemption_status,observed_value,legal_limit,unit,exceedance_ratio,evidence_quality,domestic_mapping_available,prior_warning,repeat_event,inspection_text,normalized_text_length_words,missing_critical_field,structured_text_conflict,rule_applicability,obligation_exists,factual_breach_indicator,evidence_complete,case_complexity_score,rule_logic_type,public_record_flag,deidentified
CASE_1125,Stockholm-inspired,STO_R01,industrial_facility,listed_POP,use,yes,no,valid,not_applicable,44.1,42.3,kg,1.043,valid,not_required,yes,yes,Audit observation shows activity did not trigger violation condition. POP exemption and disposal status were examined.,16,no,no,no,yes,no,yes,0.68,exemption-based,deidentified_rule_mapped,yes
CASE_1126,Rotterdam-inspired,ROT_R05,waste_handler,listed_formulation,cross_border_sale,no,no,not_required,valid,107.6,546.2,kg,0.197,valid,not_required,no,yes,Inspection note confirms required record was available and no breach indicator was observed. Export consent record was reviewed.,18,no,no,no,yes,no,yes,0.75,consent-based,deidentified_rule_mapped,yes
CASE_1127,Minamata-inspired,MIN_R05,storage_operator,mercury_air_emission,release,yes,yes,refused,not_applicable,0.0482,0.0438,mg/L,1.1,valid,yes,no,yes,Officer remark indicates regulated activity continued despite missing consent evidence. Mercury value and laboratory evidence were examined.,17,no,no,yes,yes,yes,yes,0.34,threshold-based,deidentified_rule_mapped,yes
CASE_1128,Minamata-inspired,MIN_R01,waste_handler,mercury_release,release,yes,yes,partial,conflicting,0.0483,0.0413,mg/L,1.169,valid,yes,no,no,Inspection note conflicts with structured record and requires officer review. Mercury value and laboratory evidence were examined.,17,yes,yes,yes,unclear,unknown,partial,0.94,threshold-based,deidentified_rule_mapped,yes
CASE_1129,Rotterdam-inspired,ROT_R05,industrial_facility,listed_formulation,cross_border_sale,yes,yes,unavailable,not_recorded,513.1,769.7,kg,0.667,unverified,yes,yes,no,Inspection note is incomplete and critical evidence could not be verified. Export consent record was reviewed.,16,yes,no,yes,unclear,unknown,no,0.7,consent-based,deidentified_rule_mapped,yes
CASE_1130,Minamata-inspired,MIN_R02,industrial_facility,mercury_waste,waste_handling,yes,yes,unclear,not_applicable,0.0607,0.0291,mg/L,2.086,valid,yes,no,no,Audit observation indicates probable non-compliance pending final evidence verification. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,likely,partial,0.76,threshold-based,deidentified_rule_mapped,yes
CASE_1131,Basel-inspired,BAS_R01,chemical_exporter,hazardous_waste,movement,yes,yes,unavailable,not_recorded,653.4,3580.7,kg,0.182,missing,unclear,no,no,Officer remark reports missing record and unverified evidence quality. Hazardous waste movement trail was checked.,15,yes,no,yes,yes,unknown,no,0.58,document-based,deidentified_rule_mapped,yes
CASE_1132,Basel-inspired,BAS_R05,waste_handler,spent_acid,movement,no,yes,valid,not_applicable,3053.8,4905.6,kg,0.623,valid,not_required,yes,no,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.56,document-based,deidentified_rule_mapped,yes
CASE_1133,Rotterdam-inspired,ROT_R03,chemical_exporter,industrial_precursor,shipment,yes,no,available,valid,2443.2,2310.7,kg,1.057,verified,yes,no,yes,Audit observation shows activity did not trigger violation condition. Export consent record was reviewed.,14,no,no,no,yes,no,yes,0.88,consent-based,deidentified_rule_mapped,yes
CASE_1134,Stockholm-inspired,STO_R05,industrial_facility,restricted_flame_retardant,use,yes,yes,missing,invalid,110.2,173.7,kg,0.634,verified,yes,no,no,Officer remark indicates regulated activity continued despite missing consent evidence. POP exemption and disposal status were examined.,17,no,no,yes,yes,yes,yes,0.86,exemption-based,deidentified_rule_mapped,yes
CASE_1135,Montreal-inspired,MON_R04,importer,ODS_blend,sale,yes,yes,expired,not_applicable,166.7,146,kg,1.142,verified,yes,yes,yes,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.4,quota-based,deidentified_rule_mapped,yes
CASE_1136,Stockholm-inspired,STO_R05,importer,restricted_flame_retardant,use,yes,yes,missing,invalid,26.3,30.8,kg,0.854,partial,yes,yes,yes,Officer remark reports partial document trail and possible controlled activity. POP exemption and disposal status were examined.,17,no,no,yes,yes,likely,partial,0.74,exemption-based,deidentified_rule_mapped,yes
CASE_1137,Rotterdam-inspired,ROT_R01,industrial_facility,listed_pesticide,export,no,no,valid,valid,403.3,888.5,kg,0.454,verified,not_required,yes,yes,Officer remark reports valid documentation and no threshold exceedance. Export consent record was reviewed.,14,no,no,no,no,no,yes,0.71,consent-based,deidentified_rule_mapped,yes
CASE_1138,Montreal-inspired,MON_R01,chemical_exporter,controlled_ODS,import,yes,yes,invalid,not_applicable,1515.8,719.3,kg,2.107,verified,yes,yes,yes,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.79,quota-based,deidentified_rule_mapped,yes
CASE_1139,Rotterdam-inspired,ROT_R01,industrial_facility,listed_pesticide,export,yes,yes,valid,valid,141.9,125.4,kg,1.132,valid,not_required,no,yes,Audit observation shows activity did not trigger violation condition. Export consent record was reviewed.,14,no,no,yes,no,no,yes,0.85,consent-based,deidentified_rule_mapped,yes
CASE_1140,Basel-inspired,BAS_R03,storage_operator,contaminated_sludge,transfer,yes,yes,valid,valid,377.1,2471.3,kg,0.153,verified,not_required,yes,yes,Officer remark reports valid documentation and no threshold exceedance. Hazardous waste movement trail was checked.,15,no,no,yes,no,no,yes,0.36,document-based,deidentified_rule_mapped,yes
CASE_1141,Rotterdam-inspired,ROT_R04,industrial_facility,restricted_solvent,export,yes,yes,missing,not_applicable,1968.1,1645.4,kg,1.196,partial,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Export consent record was reviewed.,14,yes,no,yes,yes,likely,partial,0.75,consent-based,deidentified_rule_mapped,yes
CASE_1142,Rotterdam-inspired,ROT_R04,waste_handler,restricted_solvent,export,yes,yes,partial,not_recorded,1395.7,1756.1,kg,0.795,valid,unclear,yes,yes,Inspection note conflicts with structured record and requires officer review. Export consent record was reviewed.,15,no,yes,yes,yes,likely,partial,0.62,consent-based,deidentified_rule_mapped,yes
CASE_1143,Stockholm-inspired,STO_R04,chemical_exporter,POP_contaminated_material,treatment,yes,yes,unclear,not_recorded,235.2,276,kg,0.852,valid,yes,yes,no,Inspection note conflicts with structured record and requires officer review. POP exemption and disposal status were examined.,17,no,yes,yes,yes,likely,partial,1.02,exemption-based,deidentified_rule_mapped,yes
CASE_1144,Montreal-inspired,MON_R03,storage_operator,HCFC_batch,use,no,yes,valid,not_applicable,26,125.8,kg,0.207,verified,yes,yes,yes,Inspection note confirms required record was available and no breach indicator was observed. ODS license and quota evidence were examined.,20,no,no,no,yes,no,yes,0.54,quota-based,deidentified_rule_mapped,yes
CASE_1145,Rotterdam-inspired,ROT_R04,storage_operator,restricted_solvent,export,yes,yes,partial,unclear,190.5,1246,kg,0.153,invalid,unclear,no,yes,Audit observation lacks enough support for a confirmed legal conclusion. Export consent record was reviewed.,15,yes,no,yes,unclear,unknown,no,0.99,consent-based,deidentified_rule_mapped,yes
CASE_1146,Montreal-inspired,MON_R02,waste_handler,CFC_stock,production,yes,no,available,valid,40.6,266.5,kg,0.152,verified,not_required,no,no,Officer remark reports valid documentation and no threshold exceedance. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.58,quota-based,deidentified_rule_mapped,yes
CASE_1147,Rotterdam-inspired,ROT_R01,waste_handler,listed_pesticide,export,yes,yes,unavailable,unclear,97.6,274.9,kg,0.355,missing,unclear,no,yes,Officer remark reports missing record and unverified evidence quality. Export consent record was reviewed.,14,yes,no,yes,yes,unknown,no,0.64,consent-based,deidentified_rule_mapped,yes
CASE_1148,Stockholm-inspired,STO_R03,importer,obsolete_pesticide_POP,disposal,yes,yes,missing,invalid,87.6,273.2,kg,0.321,verified,yes,yes,yes,Inspection note states that required authorization was not produced during review. POP exemption and disposal status were examined.,18,no,no,yes,yes,yes,yes,0.68,exemption-based,deidentified_rule_mapped,yes
CASE_1149,Minamata-inspired,MIN_R02,industrial_facility,mercury_waste,waste_handling,yes,yes,expired,not_applicable,0.0592,0.0291,mg/L,2.034,verified,yes,yes,no,Inspection note states that required authorization was not produced during review. Mercury value and laboratory evidence were examined.,18,no,no,yes,yes,yes,yes,0.31,threshold-based,deidentified_rule_mapped,yes
CASE_1150,Rotterdam-inspired,ROT_R01,storage_operator,listed_pesticide,export,yes,yes,expired,not_applicable,115.4,113.5,kg,1.017,valid,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.63,consent-based,deidentified_rule_mapped,yes
CASE_1151,Montreal-inspired,MON_R01,waste_handler,controlled_ODS,import,yes,yes,refused,not_applicable,828.4,719.3,kg,1.152,valid,yes,yes,no,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.57,quota-based,deidentified_rule_mapped,yes
CASE_1152,Basel-inspired,BAS_R03,importer,contaminated_sludge,transfer,yes,yes,partial,not_recorded,4936.3,4357.4,kg,1.133,missing,unclear,no,no,Inspection note is incomplete and critical evidence could not be verified. Hazardous waste movement trail was checked.,17,yes,no,yes,unclear,unknown,no,0.55,document-based,deidentified_rule_mapped,yes
CASE_1153,Rotterdam-inspired,ROT_R02,waste_handler,hazardous_chemical,cross_border_sale,yes,yes,partial,unclear,1982.1,1710.5,kg,1.159,invalid,yes,no,no,Inspection note is incomplete and critical evidence could not be verified. Export consent record was reviewed.,16,yes,no,yes,unclear,unknown,no,0.98,consent-based,deidentified_rule_mapped,yes
CASE_1154,Montreal-inspired,MON_R03,storage_operator,HCFC_batch,use,yes,yes,available,valid,88.8,125.8,kg,0.706,valid,not_required,yes,yes,Inspection note confirms required record was available and no breach indicator was observed. ODS license and quota evidence were examined.,20,no,no,yes,no,no,yes,0.3,quota-based,deidentified_rule_mapped,yes
CASE_1155,Basel-inspired,BAS_R03,waste_handler,contaminated_sludge,transfer,yes,yes,refused,not_applicable,2824.1,3711.6,kg,0.761,valid,yes,yes,yes,Inspection note states that required authorization was not produced during review. Hazardous waste movement trail was checked.,17,no,no,yes,yes,yes,yes,0.41,document-based,deidentified_rule_mapped,yes
CASE_1156,Basel-inspired,BAS_R01,industrial_facility,hazardous_waste,movement,yes,yes,unclear,unclear,2794.4,3588.8,kg,0.779,missing,unclear,no,yes,Officer remark reports missing record and unverified evidence quality. Hazardous waste movement trail was checked.,15,yes,no,yes,yes,unknown,no,0.51,document-based,deidentified_rule_mapped,yes
CASE_1157,Rotterdam-inspired,ROT_R05,importer,listed_formulation,cross_border_sale,yes,yes,expired,not_applicable,281.1,1420.6,kg,0.198,verified,yes,no,no,Audit observation confirms breach indicators with supporting document gap. Export consent record was reviewed.,14,no,no,yes,yes,yes,yes,0.83,consent-based,deidentified_rule_mapped,yes
CASE_1158,Basel-inspired,BAS_R02,importer,waste_solvent,export,yes,yes,missing,not_recorded,3984.5,3876.9,kg,1.028,missing,yes,yes,yes,Inspection note is incomplete and critical evidence could not be verified. Hazardous waste movement trail was checked.,17,yes,no,yes,yes,unknown,no,0.74,document-based,deidentified_rule_mapped,yes
CASE_1159,Rotterdam-inspired,ROT_R05,chemical_exporter,listed_formulation,cross_border_sale,yes,yes,invalid,not_applicable,1054,1320.4,kg,0.798,valid,yes,no,no,Inspection note states that required authorization was not produced during review. Export consent record was reviewed.,16,no,no,yes,yes,yes,yes,0.78,consent-based,deidentified_rule_mapped,yes
CASE_1160,Basel-inspired,BAS_R01,waste_handler,hazardous_waste,movement,yes,no,available,valid,565.7,742.9,kg,0.761,valid,yes,yes,yes,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,no,no,yes,0.48,document-based,deidentified_rule_mapped,yes
CASE_1161,Stockholm-inspired,STO_R02,importer,PCB_stock,storage,yes,yes,missing,not_recorded,108.1,248.8,kg,0.434,invalid,unclear,yes,yes,Inspection note is incomplete and critical evidence could not be verified. POP exemption and disposal status were examined.,18,yes,no,yes,unclear,unknown,no,0.89,exemption-based,deidentified_rule_mapped,yes
CASE_1162,Basel-inspired,BAS_R04,industrial_facility,e_waste_residue,disposal_transfer,yes,yes,unclear,not_applicable,3468.6,3529.1,kg,0.983,valid,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Hazardous waste movement trail was checked.,15,no,no,yes,yes,likely,partial,0.31,document-based,deidentified_rule_mapped,yes
CASE_1163,Basel-inspired,BAS_R03,waste_handler,contaminated_sludge,transfer,no,yes,available,valid,2574.4,2116.3,kg,1.216,valid,yes,no,yes,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.83,document-based,deidentified_rule_mapped,yes
CASE_1164,Minamata-inspired,MIN_R01,industrial_facility,mercury_release,release,no,yes,valid,valid,0.0193,0.0413,mg/L,0.467,verified,not_required,no,yes,Inspection note confirms required record was available and no breach indicator was observed. Mercury value and laboratory evidence were examined.,20,no,no,no,yes,no,yes,0.71,threshold-based,deidentified_rule_mapped,yes
CASE_1165,Rotterdam-inspired,ROT_R04,waste_handler,restricted_solvent,export,yes,yes,partial,not_applicable,845.5,1054.9,kg,0.801,partial,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. Export consent record was reviewed.,14,yes,no,yes,yes,likely,partial,0.62,consent-based,deidentified_rule_mapped,yes
CASE_1166,Basel-inspired,BAS_R02,importer,waste_solvent,export,yes,yes,available,valid,654.8,4393.4,kg,0.149,verified,yes,yes,yes,Inspection note confirms required record was available and no breach indicator was observed. Hazardous waste movement trail was checked.,19,no,no,yes,yes,no,yes,0.65,document-based,deidentified_rule_mapped,yes
CASE_1167,Rotterdam-inspired,ROT_R01,industrial_facility,listed_pesticide,export,yes,yes,unclear,not_applicable,147.1,260.5,kg,0.565,valid,yes,yes,yes,Inspection note suggests likely breach but one supporting record remains incomplete. Export consent record was reviewed.,16,yes,no,yes,yes,likely,partial,0.39,consent-based,deidentified_rule_mapped,yes
CASE_1168,Montreal-inspired,MON_R04,storage_operator,ODS_blend,sale,yes,yes,partial,unclear,145.1,146,kg,0.994,missing,yes,no,no,Officer remark reports missing record and unverified evidence quality. ODS license and quota evidence were examined.,16,yes,no,yes,unclear,unknown,no,1.03,quota-based,deidentified_rule_mapped,yes
CASE_1169,Rotterdam-inspired,ROT_R01,chemical_exporter,listed_pesticide,export,no,yes,not_required,valid,449,968,kg,0.464,verified,yes,no,yes,Officer remark reports valid documentation and no threshold exceedance. Export consent record was reviewed.,14,no,no,no,yes,no,yes,0.77,consent-based,deidentified_rule_mapped,yes
CASE_1170,Montreal-inspired,MON_R04,waste_handler,ODS_blend,sale,yes,yes,invalid,not_applicable,317.8,146,kg,2.177,verified,yes,yes,no,Audit observation confirms breach indicators with supporting document gap. ODS license and quota evidence were examined.,16,no,no,yes,yes,yes,yes,0.48,quota-based,deidentified_rule_mapped,yes
CASE_1171,Rotterdam-inspired,ROT_R03,storage_operator,industrial_precursor,shipment,yes,yes,missing,not_recorded,303.6,1188.7,kg,0.255,missing,unclear,yes,yes,Inspection note is incomplete and critical evidence could not be verified. Export consent record was reviewed.,16,yes,no,yes,yes,unknown,no,0.68,consent-based,deidentified_rule_mapped,yes
CASE_1172,Minamata-inspired,MIN_R03,chemical_exporter,mercury_sludge,storage,yes,yes,expired,not_applicable,0.043,0.022,mg/L,1.955,partial,yes,no,no,Audit observation indicates probable non-compliance pending final evidence verification. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,likely,partial,0.38,threshold-based,deidentified_rule_mapped,yes
CASE_1173,Basel-inspired,BAS_R02,importer,waste_solvent,export,yes,yes,missing,not_applicable,2007.1,2902.1,kg,0.692,valid,yes,yes,no,Audit observation confirms breach indicators with supporting document gap. Hazardous waste movement trail was checked.,15,no,no,yes,yes,yes,yes,0.87,document-based,deidentified_rule_mapped,yes
CASE_1174,Basel-inspired,BAS_R02,waste_handler,waste_solvent,export,yes,yes,expired,not_applicable,2717.2,3461.1,kg,0.785,partial,yes,no,yes,Officer remark reports partial document trail and possible controlled activity. Hazardous waste movement trail was checked.,16,no,no,yes,yes,likely,partial,0.46,document-based,deidentified_rule_mapped,yes
CASE_1175,Montreal-inspired,MON_R02,chemical_exporter,CFC_stock,production,yes,yes,unclear,not_recorded,258.2,266.5,kg,0.969,invalid,unclear,yes,yes,Inspection note is incomplete and critical evidence could not be verified. ODS license and quota evidence were examined.,18,yes,no,yes,yes,unknown,no,0.58,quota-based,deidentified_rule_mapped,yes
CASE_1176,Basel-inspired,BAS_R02,chemical_exporter,waste_solvent,export,yes,yes,missing,not_applicable,3172.5,4317.5,kg,0.735,valid,yes,no,no,Officer remark reports partial document trail and possible controlled activity. Hazardous waste movement trail was checked.,16,yes,no,yes,yes,likely,partial,0.32,document-based,deidentified_rule_mapped,yes
CASE_1177,Stockholm-inspired,STO_R04,chemical_exporter,POP_contaminated_material,treatment,yes,yes,expired,invalid,110.9,172.1,kg,0.644,verified,yes,no,yes,Audit observation confirms breach indicators with supporting document gap. POP exemption and disposal status were examined.,16,no,no,yes,yes,yes,yes,0.73,exemption-based,deidentified_rule_mapped,yes
CASE_1178,Montreal-inspired,MON_R03,storage_operator,HCFC_batch,use,yes,yes,valid,not_applicable,112.6,125.8,kg,0.895,verified,not_required,yes,no,Audit observation shows activity did not trigger violation condition. ODS license and quota evidence were examined.,16,no,no,yes,yes,no,yes,0.77,quota-based,deidentified_rule_mapped,yes
CASE_1179,Montreal-inspired,MON_R02,industrial_facility,CFC_stock,production,yes,yes,expired,not_applicable,304.1,266.5,kg,1.141,valid,yes,yes,no,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.47,quota-based,deidentified_rule_mapped,yes
CASE_1180,Montreal-inspired,MON_R05,storage_operator,refrigerant_stock,import,yes,yes,partial,not_recorded,617.2,653.9,kg,0.944,partial,no,no,no,Officer remark contains ambiguous mapping and unclear exemption status. ODS license and quota evidence were examined.,16,yes,yes,yes,unclear,likely,partial,0.8,quota-based,deidentified_rule_mapped,yes
CASE_1181,Montreal-inspired,MON_R02,chemical_exporter,CFC_stock,production,yes,yes,missing,not_applicable,284,266.5,kg,1.066,valid,yes,yes,no,Officer remark indicates regulated activity continued despite missing consent evidence. ODS license and quota evidence were examined.,17,no,no,yes,yes,yes,yes,0.38,quota-based,deidentified_rule_mapped,yes
CASE_1182,Stockholm-inspired,STO_R02,chemical_exporter,PCB_stock,storage,yes,no,not_required,valid,115.1,398.4,kg,0.289,verified,yes,no,no,Officer remark reports valid documentation and no threshold exceedance. POP exemption and disposal status were examined.,16,no,no,no,no,no,yes,0.79,exemption-based,deidentified_rule_mapped,yes
CASE_1183,Minamata-inspired,MIN_R02,industrial_facility,mercury_waste,waste_handling,no,yes,available,valid,0.0068,0.0291,mg/L,0.234,verified,not_required,yes,no,Audit observation shows activity did not trigger violation condition. Mercury value and laboratory evidence were examined.,16,no,no,no,no,no,yes,0.84,threshold-based,deidentified_rule_mapped,yes
CASE_1184,Montreal-inspired,MON_R05,importer,refrigerant_stock,import,yes,yes,unclear,not_applicable,1387.4,653.9,kg,2.122,valid,yes,no,yes,Inspection note suggests likely breach but one supporting record remains incomplete. ODS license and quota evidence were examined.,18,no,no,yes,yes,likely,partial,0.52,quota-based,deidentified_rule_mapped,yes
CASE_1185,Minamata-inspired,MIN_R05,waste_handler,mercury_air_emission,release,yes,yes,unclear,not_applicable,0.0565,0.0438,mg/L,1.29,partial,yes,no,no,Audit observation indicates probable non-compliance pending final evidence verification. Mercury value and laboratory evidence were examined.,16,no,no,yes,yes,likely,partial,0.47,threshold-based,deidentified_rule_mapped,yes
CASE_1186,Montreal-inspired,MON_R03,industrial_facility,HCFC_batch,use,yes,yes,unclear,not_recorded,109,125.8,kg,0.866,invalid,yes,no,no,Inspection note is incomplete and critical evidence could not be verified. ODS license and quota evidence were examined.,18,yes,no,yes,unclear,unknown,no,0.97,quota-based,deidentified_rule_mapped,yes
CASE_1187,Montreal-inspired,MON_R02,storage_operator,CFC_stock,production,yes,yes,refused,not_applicable,421.7,266.5,kg,1.582,verified,yes,no,no,Inspection note states that required authorization was not produced during review. ODS license and quota evidence were examined.,18,no,no,yes,yes,yes,yes,0.65,quota-based,deidentified_rule_mapped,yes
CASE_1188,Minamata-inspired,MIN_R02,industrial_facility,mercury_waste,waste_handling,yes,yes,expired,not_applicable,0.0343,0.0291,mg/L,1.179,partial,yes,no,yes,Inspection note suggests likely breach but one supporting record remains incomplete. Mercury value and laboratory evidence were examined.,18,no,no,yes,yes,likely,partial,0.69,threshold-based,deidentified_rule_mapped,yes
CASE_1189,Stockholm-inspired,STO_R04,waste_handler,POP_contaminated_material,treatment,yes,no,available,valid,6.3,22.4,kg,0.281,valid,not_required,yes,no,Audit observation shows activity did not trigger violation condition. POP exemption and disposal status were examined.,16,no,no,no,no,no,yes,0.41,exemption-based,deidentified_rule_mapped,yes
CASE_1190,Minamata-inspired,MIN_R02,industrial_facility,mercury_waste,waste_handling,yes,no,not_required,not_applicable,0.0096,0.0291,mg/L,0.33,valid,yes,yes,no,Audit observation shows activity did not trigger violation condition. Mercury value and laboratory evidence were examined.,16,no,no,no,yes,no,yes,0.72,threshold-based,deidentified_rule_mapped,yes
CASE_1191,Montreal-inspired,MON_R05,waste_handler,refrigerant_stock,import,no,no,available,valid,201.7,653.9,kg,0.308,verified,yes,no,yes,Audit observation shows activity did not trigger violation condition. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.51,quota-based,deidentified_rule_mapped,yes
CASE_1192,Rotterdam-inspired,ROT_R01,waste_handler,listed_pesticide,export,yes,yes,conflicting,not_recorded,223,406.8,kg,0.548,partial,yes,yes,yes,Audit observation shows mixed evidence requiring human legal review. Export consent record was reviewed.,14,no,yes,yes,yes,unknown,partial,0.66,consent-based,deidentified_rule_mapped,yes
CASE_1193,Minamata-inspired,MIN_R02,waste_handler,mercury_waste,waste_handling,yes,yes,unclear,not_recorded,0.0218,0.0291,mg/L,0.749,valid,no,no,yes,Officer remark contains ambiguous mapping and unclear exemption status. Mercury value and laboratory evidence were examined.,16,yes,yes,yes,yes,likely,partial,0.96,threshold-based,deidentified_rule_mapped,yes
CASE_1194,Basel-inspired,BAS_R02,industrial_facility,waste_solvent,export,yes,no,valid,not_applicable,2718.8,2286.9,kg,1.189,verified,yes,yes,no,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.89,document-based,deidentified_rule_mapped,yes
CASE_1195,Montreal-inspired,MON_R05,waste_handler,refrigerant_stock,import,yes,yes,invalid,not_applicable,1261.5,653.9,kg,1.929,valid,yes,no,yes,Inspection note states that required authorization was not produced during review. ODS license and quota evidence were examined.,18,no,no,yes,yes,yes,yes,0.8,quota-based,deidentified_rule_mapped,yes
CASE_1196,Stockholm-inspired,STO_R01,importer,listed_POP,use,yes,yes,missing,invalid,107.2,204.2,kg,0.525,valid,yes,yes,yes,Audit observation indicates probable non-compliance pending final evidence verification. POP exemption and disposal status were examined.,16,no,no,yes,yes,likely,partial,0.43,exemption-based,deidentified_rule_mapped,yes
CASE_1197,Rotterdam-inspired,ROT_R04,waste_handler,restricted_solvent,export,yes,yes,available,not_applicable,882.3,878.3,kg,1.005,verified,not_required,yes,yes,Inspection note confirms required record was available and no breach indicator was observed. Export consent record was reviewed.,18,no,no,yes,no,no,yes,0.39,consent-based,deidentified_rule_mapped,yes
CASE_1198,Stockholm-inspired,STO_R02,waste_handler,PCB_stock,storage,yes,no,available,valid,257.3,284.5,kg,0.904,valid,not_required,yes,no,Audit observation shows activity did not trigger violation condition. POP exemption and disposal status were examined.,16,no,no,no,yes,no,yes,0.64,exemption-based,deidentified_rule_mapped,yes
CASE_1199,Montreal-inspired,MON_R04,chemical_exporter,ODS_blend,sale,yes,yes,missing,not_applicable,291.2,146,kg,1.995,partial,yes,yes,no,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,no,no,yes,yes,likely,partial,0.9,quota-based,deidentified_rule_mapped,yes
CASE_1200,Montreal-inspired,MON_R01,chemical_exporter,controlled_ODS,import,no,no,not_required,valid,264.2,719.3,kg,0.367,verified,yes,yes,yes,Audit observation shows activity did not trigger violation condition. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.78,quota-based,deidentified_rule_mapped,yes
CASE_1201,Montreal-inspired,MON_R01,storage_operator,controlled_ODS,import,no,yes,not_required,not_applicable,115.7,719.3,kg,0.161,valid,not_required,yes,no,Audit observation shows activity did not trigger violation condition. ODS license and quota evidence were examined.,16,no,no,no,no,no,yes,0.34,quota-based,deidentified_rule_mapped,yes
CASE_1202,Montreal-inspired,MON_R01,chemical_exporter,controlled_ODS,import,yes,yes,unclear,not_applicable,1227.5,719.3,kg,1.707,partial,yes,no,yes,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,no,no,yes,yes,likely,partial,0.58,quota-based,deidentified_rule_mapped,yes
CASE_1203,Stockholm-inspired,STO_R03,chemical_exporter,obsolete_pesticide_POP,disposal,yes,yes,available,not_applicable,305.8,288.7,kg,1.059,verified,yes,yes,no,Audit observation shows activity did not trigger violation condition. POP exemption and disposal status were examined.,16,no,no,yes,yes,no,yes,0.7,exemption-based,deidentified_rule_mapped,yes
CASE_1204,Rotterdam-inspired,ROT_R03,storage_operator,industrial_precursor,shipment,yes,yes,missing,unclear,135.7,1127.8,kg,0.12,missing,unclear,yes,no,Audit observation lacks enough support for a confirmed legal conclusion. Export consent record was reviewed.,15,yes,no,yes,unclear,unknown,no,0.5,consent-based,deidentified_rule_mapped,yes
CASE_1205,Basel-inspired,BAS_R04,waste_handler,e_waste_residue,disposal_transfer,yes,yes,partial,not_applicable,820.3,770.9,kg,1.064,partial,yes,no,yes,Inspection note suggests likely breach but one supporting record remains incomplete. Hazardous waste movement trail was checked.,17,no,no,yes,yes,likely,partial,0.31,document-based,deidentified_rule_mapped,yes
CASE_1206,Rotterdam-inspired,ROT_R01,storage_operator,listed_pesticide,export,yes,yes,unclear,not_recorded,86.3,459.2,kg,0.188,valid,no,no,no,Inspection note conflicts with structured record and requires officer review. Export consent record was reviewed.,15,yes,yes,yes,yes,likely,partial,0.79,consent-based,deidentified_rule_mapped,yes
CASE_1207,Montreal-inspired,MON_R05,industrial_facility,refrigerant_stock,import,yes,yes,partial,not_applicable,1112.5,653.9,kg,1.701,partial,yes,yes,no,Audit observation indicates probable non-compliance pending final evidence verification. ODS license and quota evidence were examined.,16,no,no,yes,yes,likely,partial,0.58,quota-based,deidentified_rule_mapped,yes
CASE_1208,Rotterdam-inspired,ROT_R04,chemical_exporter,restricted_solvent,export,yes,yes,partial,unclear,652.8,1150.8,kg,0.567,invalid,yes,no,no,Inspection note is incomplete and critical evidence could not be verified. Export consent record was reviewed.,16,yes,no,yes,yes,unknown,no,0.73,consent-based,deidentified_rule_mapped,yes
CASE_1209,Basel-inspired,BAS_R03,importer,contaminated_sludge,transfer,no,no,valid,valid,645.5,1979.7,kg,0.326,verified,yes,no,yes,Audit observation shows activity did not trigger violation condition. Hazardous waste movement trail was checked.,15,no,no,no,yes,no,yes,0.7,document-based,deidentified_rule_mapped,yes
CASE_1210,Minamata-inspired,MIN_R02,storage_operator,mercury_waste,waste_handling,yes,yes,unclear,unclear,0.0365,0.0291,mg/L,1.254,partial,unclear,no,no,Officer remark contains ambiguous mapping and unclear exemption status. Mercury value and laboratory evidence were examined.,16,yes,yes,yes,yes,unknown,partial,0.74,threshold-based,deidentified_rule_mapped,yes
